CellID,total_sms,total_calls,total_activity
9045,774.8923,234.0634,5081.0501
9046,774.8923,234.0634,5081.0501
9047,786.6129999999999,242.8581,5258.3361
9048,820.6641999999999,470.6201,8451.5994
9049,695.3208,601.0282,9549.7193
9050,700.1841,605.3601,9712.8131
9051,799.5856,667.2,11667.8469
9052,955.1897,733.2626,15695.0605
9053,649.1719,539.9359000000001,10786.7791
9054,689.4933,542.4735,10207.8162
9055,721.8047,580.4029,9715.5638
9056,881.0081,682.6458,11578.3729
9057,1265.96,1010.6046,18175.6606
9058,1280.4957,1012.0309,19555.5311
9059,1541.3564,1184.8516,26033.4706
9060,1301.8033,1017.0998999999999,20730.0015
9061,659.8131,557.3067,6972.9232
9062,713.9661,586.5834,6429.4041
9063,716.0461,586.5597,5907.4533
9064,359.3769,295.1716,4084.8616
9065,510.7571,388.7202,6262.673
9066,1125.3047,768.4548,14330.6704
9067,1023.1514999999999,749.3624,12413.295
9068,883.8132,751.1881999999999,9411.8055
9069,772.292,766.8074,7398.097299999999
9070,1270.5635,1219.8672000000001,13875.6262
9071,1148.7373,1183.5688,13460.5063
9072,1347.2222,1347.7901,15350.5882
9073,1410.5148,1371.1054,16817.6342
9074,1647.1194,1435.0052,20359.8073
9075,1505.7653,1304.6499000000001,19711.3784
9076,994.4401,943.9612,13996.6452
9077,486.6097,452.2346,6586.1086
9078,425.8401,383.1468,5630.100600000001
9079,512.7398,461.681,7922.229
9080,832.2428,761.1278,14654.9687
9081,824.1066,761.4385,14588.784
9082,814.9966000000001,754.1172,14376.0574
9083,628.4585,507.4423,8814.3235
9084,541.872,425.6487,5931.8741
9085,649.5177,631.8371000000001,7072.5274
9086,694.624,650.9434,7330.3588
9087,664.1637000000001,458.0772,5430.2429
9088,669.3362999999999,464.5915,6039.049599999999
9089,962.4924,623.8819,11772.5437
9090,964.3499999999999,609.2143,12545.0985
9091,860.2402,610.263,12033.4703
9092,716.9857,531.4326000000001,8384.2809
9093,656.9399,466.71250000000003,7820.0393
9094,802.9125,603.249,12541.1953
9095,866.9599,608.3203,13312.7434
9096,839.4658000000001,555.1510999999999,11638.3925
9097,838.9055,553.6542999999999,11617.4969
9098,844.422,504.1209,9787.372800000001
9099,850.5304,500.3707,9550.2363
9100,851.5101,500.9857,9568.9074
9101,507.6287,368.6499,5593.185
9102,484.6047,337.8109,5201.0946
9103,479.20189999999997,328.1963,5165.093699999999
9104,407.4794,283.3197,4944.8562999999995
9105,282.6742,201.4506,4201.9295
9106,357.2155,260.9903,4481.2571
9107,305.0238,218.5576,3913.4436
9108,298.47749999999996,219.333,4041.3944
9109,302.293,214.1086,3792.2427000000002
9110,309.4723,203.2799,3287.9952
9111,309.1221,203.08960000000002,3287.1303
9112,298.7967,186.0793,3257.137
9113,281.2874,170.0954,3320.5317
9114,281.778,170.3519,3321.5783
9115,295.9357,179.9882,3668.8726
9116,351.7853,218.022,4860.8284
9117,408.3806,264.1259,5858.1797
9118,503.5661,345.8291,7183.9753
9119,560.7957,394.35269999999997,8769.5082
9120,571.7053,409.2353,8285.0142
9121,571.7053,409.2353,8285.0142
9122,571.5371,409.1149,8284.3485
9123,445.899,316.6312,6339.1605
9124,420.7247,300.6621,5785.6346
9125,415.87280000000004,298.169,5740.5909
